place	excerpt
clara_home	Clara's carefully picked happy graduation vapor banners hang too low from the adobe doors.
steven_home	74th and Columbus, apartment 9D. Stephen Perdue watches his wife get ready for her violin lesson.
other	Oh man, did I blow the surprise?
steven_home	He turns on CNN.
clara_home	She takes out more bottles of wine from the cupboard.
other	Inside the cab, Margaret holds on to her violin case.
clara_home	The congratulations sign still hits him on the back.
other	How could you do this to me?
other	Alexander and Margaret walk down Broadway.
clara_home	Crusted chili, soap, bubbles, scrub.
other	Alexander pays for their hot dogs with crumpled up dollar bills he pulls out of his pocket.
clara_home	Her eyes find his wallet right by the couch.
other	Across town, Gary sits at his art studio, drawing photo prints, moldy coffee cups.
steven_home	Margaret walks away from this mess and into the living room, pours herself a large glass of red wine.
other	When the phone rings, Clara's throwing up.
steven_home	He stands in his pajamas by the light of the open fridge.
other	Next time you blink, Clara, you'll be throwing away the last 20 and then 25 years of your life.
clara_home	In Clara's closet, there's a huge stack of Gary's greeting cards, meticulously drawn.
steven_home	She opens the pullout couch, uses 800 thread sheets to make it feel nice.
other	Gary is on the attack and she hates him.
steven_home	They're making Sasha's bed on the pullout couch, new sheets, a festive Indian bedspread.
other	Clara puts the birthday card in an envelope and walks out into the night.
clara_home	A leftover piece of blue crepe paper dangles from the Adobe kitchen frame.
other	In Alexander's apartment, the bathroom door is all glass, frosted glass.
other	Gary chooses a gorgeous funeral wreath, all orchids, all elegance.
other	The bar is half dark, stinks of grief, sweat, and wine.
clara_home	The bathroom is full of wet steam.
steven_home	For a moment, on 74th and Columbus, apartment 9D, there's a mother and daughter.
other	Two months later, October 2001, New York City.
other	Gary's mom cuts a thick slice of coffee cake.
other	Clara walks the empty Walmart aisles.
other	Stephen opens the door of his office to lead out a patient, and Clara's right there, waiting on the soft maroon couch.
steven_home	On the TV, the Middle East, India, wars, earthquakes, crashes.
steven_home	She eats his homemade chili, always better than hers, always soothing. Served in rustic pottery, not plastic.
steven_home	Bach's second violin concerto fills the apartment as if Margaret's playing.
other	Sasha walks into Alexander's offices.
other	Clara takes an electric candle out of a Halloween lantern.
other	On 30th Street and First Avenue, the rain beats fast against the chalk white canvas.
other	When Clara heads to the airport, it is not yet dawn.
